str_no_string|NO STRING!
str_empty_string| 
str_yes|Sim.
str_no|Não.
str_blank_string|
str_noone|ninguém
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|Tropas do {s5}
str_given_by_s1_at_s2|Atribuído por {s1} em {s2}
str_given_by_s1_in_wilderness|Atribuído por {s1} nos arredores
str_s7_raiders|{s7} assaltantes
str_bandits_eliminated_by_another|Outro exército eliminou os bandidos problemáticos.
str_msg_battle_won|Vitória! Pressione Tab para sair...
str_tutorial_map1|Você está vendo o mapa do mundo. Dê um clique esquerdo no mapa para mover seu exército ao local indicado, entrar na cidade escolhida ou perseguir o exército selecionado. O tempo no mapa do mundo não correrá se seu grupo estiver parado, esperando ou descansando. Para esperar em qualquer lugar, simplesmente pressione e mantenha pressionada a tecla de espaço. Manter a ctrl pressionada junto com a tecla de espaço faz o tempo ir mais rápido.
str_cheese_rustlers_eliminated_by_another|Os ladrões de queijo foram eliminados por outro exército.
str_elites_eliminated_by_another|Os usurpadores foram eliminados por outro exército.
str_entrench| Seu exército está entrincheirado.
str_camp_overrun| ACANPAMENTO INVADIDO!!! 
str_camp_loss| Seu acampamento foi invadido pelo inimigo.^{s4} de ouro foi saqueado dos cofres de pagamento.^{s3}^{s5}^{s6}
str_randomize|Aleatório
str_charge|Carga
str_color|Cor
str_flip_horizontal|Virar na horizontal
str_flip_vertical|Virar na vertical
str_hold_fire|Cessar-fogo
str_blunt_hold_fire|Contundente/Cessar-fogo
str_tutorial_ammo_refilled|Munição recarregada.
str_tutorial_failed|	
str_finished|(Terminado)
str_delivered_damage|Você causou {reg60} pontos de dano.
str_archery_target_hit|Distância: {reg61} jardas. Pontuação: {reg60}
str_use_baggage_for_inventory|Utilize sua bagagem para acessar seu inventário em batalha (ela está em sua posição inicial).
str_cant_use_inventory_now|Impossível acessar o inventário agora.
str_cant_use_inventory_arena|Impossível acessar o inventário na arena.
str_cant_use_inventory_disguised|Impossível acessar o inventário enquanto se utiliza um disfarce.
str_cant_use_inventory_tutorial|Impossível acessar o inventário no campo de treinamento.
str_1_denar|1 denar
str_reg1_denars|{reg1} denares
str_january_reg1_reg2|{reg1} de Janeiro de {reg2}, {reg3} horas
str_february_reg1_reg2|{reg1} de Fevereiro de {reg2}, {reg3} horas
str_march_reg1_reg2|{reg1} de Março de {reg2}, {reg3} horas
str_april_reg1_reg2|{reg1} de Abril de {reg2}, {reg3} horas
str_may_reg1_reg2|{reg1} de Maio de {reg2}, {reg3} horas
str_june_reg1_reg2|{reg1} de Junho de {reg2}, {reg3} horas
str_july_reg1_reg2|{reg1} de Julho de {reg2}, {reg3} horas
str_august_reg1_reg2|{reg1} de Agosto de {reg2}, {reg3} horas
str_september_reg1_reg2|{reg1} de Setembro de {reg2}, {reg3} horas
str_october_reg1_reg2|{reg1} de Outubro de {reg2}, {reg3} horas
str_november_reg1_reg2|{reg1} de Novembro de {reg2}, {reg3} horas
str_december_reg1_reg2|{reg1} de Dezembro de {reg2}, {reg3} horas
str_january_reg1_reg2_v2|{reg1} de Janeiro de {reg2}
str_february_reg1_reg2_v2|{reg1} de Fevereiro de {reg2}
str_march_reg1_reg2_v2|{reg1} de Março de {reg2}
str_april_reg1_reg2_v2|{reg1} de Abril de {reg2}
str_may_reg1_reg2_v2|{reg1} de Maio de {reg2}
str_june_reg1_reg2_v2|{reg1} de Junho de {reg2}
str_july_reg1_reg2_v2|{reg1} de Julho de {reg2}
str_august_reg1_reg2_v2|{reg1} de Agosto de {reg2}
str_september_reg1_reg2_v2|{reg1} de Setembro de {reg2}
str_october_reg1_reg2_v2|{reg1} de Outubro de {reg2}
str_november_reg1_reg2_v2|{reg1} de Novembro de {reg2}
str_december_reg1_reg2_v2|{reg1} de Dezembro de {reg2}
str_town_nighttime| É tarde e não há sequer uma pessoa honesta pelas ruas.
str_door_locked|A porta está trancada.
str_castle_is_abondened|O castelo parece estar deserto.
str_town_is_abondened|A cidade não tem uma guarnição que a defenda.
str_place_is_occupied_by_player|Este lugar está sob o mando de suas tropas.
str_place_is_occupied_by_enemy|Este lugar está sob o mando de tropas inimigas.
str_place_is_occupied_by_friendly|Este lugar está sob o mando de tropas aliadas.
str_do_you_want_to_retreat|Tem certeza que pretende iniciar uma retirada?
str_give_up_fight|Retirar-se da batalha?
str_do_you_wish_to_leave_tutorial|Deseja abandonar o tutorial?
str_do_you_wish_to_surrender|Deseja se render?
str_can_not_retreat|Impossível retroceder. Ainda há inimigos por perto!
str_s1_joined_battle_enemy|{s1} uniu-se à batalha, ajudando o lado inimigo.
str_s1_joined_battle_friend|{s1} uniu-se à batalha, ajudando suas tropas.
str_entrance_to_town_forbidden|Os guardas estão atentos aos intrusos e parece que você não poderá passar pelos portões sem pôr em perigo a sua vida.
str_sneaking_to_town_impossible|Os guardas da cidade deram o alarme. Você não poderá passar pelos portões, por mais que esteja bem disfarçado.
str_battle_won|Vitória!
str_battle_lost|Você perdeu a batalha!
str_attack_walls_success|Após uma luta sangrenta, seus valentes soldados são capazes de tomar os muros das mãos inimigas.
str_attack_walls_failure|Seus soldados caem em ondas ao tentar avançar contra os muros e os poucos que restam vivos rapidamente desertam das suas fileiras.
str_attack_walls_continue|A continuação dá lugar a uma sangrenta batalha, e ambos os lados lutam com igual valentia. Apesar do esforço de suas tropas, o castelo permanece em mãos inimigas.
str_order_attack_success|Seus homens lutam valentemente e vencem o inimigo.
str_order_attack_failure|Você observa a batalha com o desespero refletido em seu rosto, enquanto o inimigo dizima seus soldados e afugenta os poucos que restam vivos.
str_order_attack_continue|Apesar das contínuas escaramuças, suas tropas foram incapazes de alcançar uma vitória decisiva.
str_join_order_attack_success|Seus homens lutam junto a seus aliados, compartilhando a glória enquanto derrotam o inimigo.
str_join_order_attack_failure|Você observa a batalha com o desespero refletido em seu rosto, enquanto o inimigo dizima seus soldados e afugenta os poucos que restam vivos.
str_join_order_attack_continue|Apesar das contínuas escaramuças, nem suas tropas nem seus aliados foram capazes de alcançar uma vitória decisiva.
str_siege_defender_order_attack_success|Os homens da guarnição protegem os muros com habilidade e coragem, esmagando o assalto inimigo e provocando sua desesperada fuga.
str_siege_defender_order_attack_failure|O assalto se transforma em um banho de sangue. Os valentes esforços não acarretam resultados positivos, a guarnição não pode proteger os muros e o inimigo executa cada um dos defensores.
str_siege_defender_order_attack_continue|Os sangrentos assaltos contra os muros não são suficientes para ganhar terreno e muitos inimigos continuam em pé. O cerco continua...
str_hero_taken_prisoner|O {s1} do {s3} foi tomado prisioneiro pelo {s2}.
str_hero_freed|O {s1} do {s3} foi libertado pelo {s2}.
str_center_captured|O {s2} tomou {s1} do {s3}.
str_troop_relation_increased|Sua relação com {s1} melhorou de {reg1} para {reg2}.
str_troop_relation_detoriated|Sua relação com {s1} deteriorou-se de {reg1} para {reg2}.
str_faction_relation_increased|Sua relação com o {s1} melhorou de {reg1} para {reg2}.
str_faction_relation_detoriated|Sua relação com o {s1} deteriorou-se de {reg1} para {reg2}.
str_party_gained_morale|Seu exército ganha {reg1} pontos de moral.
str_party_lost_morale|Seu exército perde {reg1} pontos de moral.
str_other_party_gained_morale|{s1} ganham {reg1} pontos de moral.
str_other_party_lost_morale|{s1} perdem {reg1} pontos de moral.
