lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
dlga_start:lco_conversation_end|Aqui está você.
dlga_start:close_window.1|Esta pessoa parece ocupada. Acho que eu não deveria incomodar...
dlga_start:close_window.2|Esta pessoa parece ocupada. Acho que eu não deveria incomodar...
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Quero adiar a nomeação de um novo lorde até que me consulte com meus súditos.
dlga_award_fief_to_vassal_defer:close_window|Como desejar, {senhor/milady}. Pode decidir isso mais tarde.
dlga_award_fief_to_vassal_2:close_window|Como quiser, {senhor/senhora}. {reg6?Eu serei:{reg7?Você será:{s11} será}} {reg3?a nova lady:o novo lorde} de {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} ainda não possui um gerente. A quem devo atribuir esse cargo?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:Por favor, {s65}}, gostaria de receber {s1} como minha propriedade. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} deveria pertencer a você. (feudos: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|Você não precisa nomear ninguém no momento, decida depois.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. Muito bem, {playername}. Eu valorizo seu conselho. Eu adiarei a nomeação de um lorde para {s1} para um outro momento.
dlga_center_captured_rebellion_2:close_window|Hmmm. Muito bem, {playername}. Aprecio muito o seu conselho. {reg6?Eu:{reg7?Você:{s11}}} será {reg3?a nova lady:o novo lorde} de {s1}.
dlga_start:fighter_talk|Saudações, amigo. Estamos aqui melhorando nossas habilidades de combate com um pouco de prática direta. Parece que um pouco de treinamento também lhe cairia bem. Por que não junta-se a nós? Poderíamos ensinar-lhe alguns truques. E se precisar de alguma explicação sobre qualquer conceito de combate, basta simplesmente perguntar e eu tentarei ajudá-lo com todo meu esforço.
dlga_start:fighter_talk.1|O que deseja praticar?
dlga_fighter_pretalk:fighter_talk|Diga-me, o que deseja praticar?
dlga_fighter_talk:fighter_talk_train_attack|Quero praticar o ataque.
dlga_fighter_talk:fighter_talk_train_parry|Quero praticar o bloqueio com minha arma.
dlga_fighter_talk:fighter_talk_train_combat|Vamos praticar o combate direto.
dlga_fighter_talk:close_window|[Deixar]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Está bem. Há quatro principais direções para atacar. São elas: na cabeça, direita, esquerda e estocada. Agora, ensinarei em que direção deves atacar para que possa fazer corretamente. ^^(Mova seu mouse enquanto pressiona o botão esquerdo para especificar a direção do ataque. Por exemplo, para executar um ataque do alto, mova o mouse para cima no momento em que o botão esquerdo é pressionado. Os ícones na tela o ajudarão a praticar a ação correta).
dlga_fighter_talk_train_attack_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Diferentemente de um escudo, bloqueando com a própria arma você conseguirá deter apenas os ataques procedentes de uma única direção. Por exemplo, se você dirigir o seu olhar para cima, desviará os ataques que vêm do alto, mas ainda poderá ser atingido por um golpe lateral ou por uma estocada. ^^(Pressione e segure o botão direito do mouse para bloquear).
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Agora irei atacá-lo com diferentes tipos de golpes e vou esperar até que você bloqueie corretamente antes de atacá-lo. Tente preparar o bloqueio correto, logo que possível. ^^(Esta prática é fácil de fazer com a opção de "bloqueio automático" ativada como padrão. Se for ao menu de "Opções Gerais" você poderá selecionar bloquear a direção manualmente. Isto torna o combate muito mais difícil, porém, mais interessante).
dlga_fighter_talk_train_parry_3:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|O combate direto é uma excelente forma de preparação para um combate real. Agora vamos combater uns aos outros com armas não letais, até que um de nós caia no chão. Você poderá concluir a prática com algumas contusões, é claro, mas é melhor do que receber cortes de graves consequências.
dlga_fighter_talk_train_combat_2:close_window|Vamos começar então. Estou pronto.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Na verdade, gostaria de tentar outra coisa.
dlga_start:fighter_parry_try_again|Muito bem! Você conseguiu bloquear meus ataques com sucesso. Você pode repetir esta prática e tentar fazê-la cada vez mais rápido, até que esteja seguro de que suas habilidades de defesa são suficientes. Quer tentar de novo?
dlga_start:fighter_parry_try_again.1|Bem, isso não foi muito bom, certo? (Lembre-se, você deve pressionar e segurar o botão direito do mouse para manter um bloqueio efetivo). Gostaria de tentar de novo?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Sim, vamos tentar novamente.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Não, creio que isso já foi o suficiente.
dlga_start:fighter_parry_warn|Hey! Estamos fazendo uma prática de bloqueio, companheiro. Supõe-se que você deve bloquear meus ataques, não me atacar.
dlga_fighter_parry_warn:fighter_talk_train_parry|Desculpe. Dê-me outra oportunidade.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Desculpe, tenho que terminar esta prática agora.
dlga_fighter_talk_leave_parry:close_window|Perfeito. Como quiser.
dlga_start:fighter_combat_try_again|Bem, isso não foi muito bom, certo? Não se sinta mal por isso, apenas trate de não repetir os mesmos erros da próxima vez. Gostaria de tentar de novo?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Sim. Vamos mais uma rodada.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Não. Isso já foi o suficiente.
dlga_fighter_talk_leave_combat:close_window|Bem, então perfeito. Diga-me novamente, se mudar de ideia.
dlga_start:fighter_combat_try_again.1|Ei, isso foi bom. Você me derrotou, mas da próxima vez eu terei mais cuidado. Quer tentar de novo?
dlga_start:fighter_talk.2|Muito bem! Você aprendeu como atacar a partir da direção que você deseja. Se quiser, podemos tentar isso de novo ou partir para um tipo diferente de exercício.
dlga_start:archer_challenge_2|Nada mal. Não está tão mau! Parece que você compreendeu as noções básicas de tiro com arco. Agora, tente fazer o mesmo com uma besta. Pegue a besta e os dardos ali e dispare para esses três alvos. A besta é muito mais fácil de disparar que o arco, porém é necessário que você a recarregue-a depois de cada disparo.
dlga_start:archer_challenge_2.1|Bom. A besta não foi tão difícil. Em seguida, você aprenderá a utilizar as armas de arremesso. Reúna as lanças que você encontrar e tente acertá-las nesses três alvos.
dlga_start:ranged_end|Bem, você tem praticado as habilidades básicas para usar três tipos de armas de longo alcance. O resto aprenderá com a prática. Treinando todos os dias, com o tempo você se tornará tão bom quanto os melhores atiradores de Calradia.
dlga_ranged_end:close_window|Agora, você pode falar com os guerreiros ou com o instrutor de montaria, se você ainda não tiver feito isso. Eles podem lhe ensinar importantes habilidades.
dlga_start:archer_talk|Bom dia, meu jovem. Passo meus dias ensinando tudo o que sei sobre armas de longo alcance a qualquer pessoa que esteja disposta a aprender. Você precisa de um treinador? Eu poderia lhe ensinar como usar o arco, a besta e as lanças de longo alcance.
dlga_archer_talk:archer_challenge|Sim, me ensine a usar as armas de longo alcance.
dlga_archer_talk:close_window|Não, agora não.
dlga_archer_challenge:archer_challenge_2|Está bem. Seu primeiro treinamento será o tiro com arco. O arco é uma arma difícil de dominar. Porém, uma vez que você seja suficientemente hábil com ele, poderá disparar com rapidez e precisão. Vá buscar o arco e as flechas que você vê ali e atire nos alvos.
dlga_archer_challenge_2:close_window|Certo. Estou pronto.
dlga_archer_challenge_2:close_window.1|Desculpe. Tenho que fazer uma coisa primeiro.
dlga_start:horseman_melee_challenge_2|Espero que tenha gostado do passeio. Agora passemos para a algo um pouco mais difícil. Pegue a lança que você vê ali e, cavalgando seguindo o curso de cada alvo, golpeie-os pelo menos uma vez.
dlga_start:horseman_melee_challenge_2.1|Muito bem! Você conseguiu atingir todos os alvos a cavalo. Isso não é tarefa fácil para um iniciante. Seu próximo desafio será usar um arco e flecha para atirar nos alvos que encontrar pelo caminho. Você terá que apontar para cada alvo.
dlga_start:horsemanship_end|Muito bom. Você foi capaz de atirar em todos os alvos do lombo de um cavalo. Cavalgue e pratique essas coisas todos os dias. Se fizer isso, ao longo do tempo você se tornará um perito cavaleiro.
dlga_horsemanship_end:close_window|Agora você pode ir falar com os guerreiros ou com o treinador arqueiro, caso não o tenha feito ainda. Você deve aprender tudo o que puder para estar preparado quando precisar se defender.
dlga_start:horseman_talk|Saudações, irmão! Eu vim aqui obter uma prática de montaria, mas meus velhos músculos doem tanto que decidi fazer uma pausa por hoje. Você quer praticar sua montaria? Se quiser, pode montar o meu cavalo. O exercício lhe fará bem.
dlga_horseman_talk:horseman_challenge|Sim, gostaria de praticar a montaria.
dlga_horseman_talk:close_window|Uhm. Talvez mais tarde.
dlga_horseman_challenge:horseman_melee_challenge_2|Ótimo. Agora mostrarei alguns exercícios para ensinar-lhe a montar e usar armas enquanto estiver a cavalo. Sua primeira tarefa é simples. Apenas monte em seu cavalo e cavalgue ao redor do campo. Pode ir lentamente ou rápido, como você desejar. Volte apenas quando se sentir seguro como um cavalgador, para que eu possa lhe propor algumas tarefas mais complexas.
dlga_horseman_melee_challenge_2:close_window|Certo. Estou pronto.
dlga_horseman_melee_challenge_2:close_window.1|Um minuto, tenho que fazer algo antes.
dlga_tutorial_troop_default:close_window|Ei, estou tentando praticar aqui. Vá falar com o arqueiro instrutor se precisar de ajuda com armas de longo alcance.
dlga_start:lord_prison_break_confirm_3|Há uma mudança de plano?
dlga_start:lord_prison_break|O que está acontecendo?
dlga_start:drunk_response|O que você está olhando?
dlga_start:drunk_response.1|Está olhando para mim?
dlga_player_duel_response:close_window|Que desperdício...
dlga_player_duel_response:close_window.1|Antes ele do que eu.
dlga_drunk_response:drunk_fight_start|Não sei dizer... Algum animal, sem dúvida.
dlga_drunk_response:dplmc_drunk_attempt_placate|Com licença, por favor aceite minhas desculpas.
dlga_dplmc_drunk_attempt_placate:close_window|Eu irei deixar passar... dessa vez.  Agora cai fora.
dlga_dplmc_drunk_attempt_placate:close_window.1|Vou tirar esse sorriso do seu rosto!
dlga_drunk_fight_start:close_window|Vou tirar esse sorriso do seu rosto!
dlga_drunk_response:drunk_player_high_renown|Você tem alguma ideia de quem eu sou?
dlga_drunk_player_high_renown:drunk_fight_start|Deveria me importar?
dlga_drunk_player_high_renown:drunk_fight_start.1|Grande conversa para um pequeno verme. Vou colocá-lo em seu lugar!
dlga_drunk_player_high_renown:drunk_player_high_renown|Hummm... Na verdade... Sim, sim, eu sei quem você é, {s0}. Por favor, perdoe-me vossa Graça... deve ser o álcool. Vou indo, agora...
dlga_drunk_player_high_renown:drunk_fight_start.2|Se é luta que você quer, é luta que você terá!
dlga_drunk_player_high_renown:close_window|Como eu imaginava. Agora retire-se daqui!
dlga_start:fistfight_response|Certamente você parece {um camarada/uma dama} capaz de dar um bom par de golpes. Tenho uma proposta para você.
dlga_fistfight_response:fistfight_response_2|Como assim?
dlga_fistfight_response_2:fistfight_response_2a|Bom. Alegro-me em ver que está interessado. O plano é o seguinte... É um pouco complicado, então ouça-me atentamente.
dlga_fistfight_response_2a:fistfight_response_3|Você e outra pessoa começarão uma briga aqui. Sem armas, nem armadura... Eu me sentarei aqui e receberei apostas, para depois dividir os lucros com o vencedor. Se perdermos, vou cobrir os custos. Você não tem nada a perder... exceto um pouco de sangue, é claro.
dlga_fistfight_response_3:fistfight_response_4|No entanto, é impossível organizar isso como um daqueles belos confrontos na arena, onde todas as apostas são feitas com antecedência. Pessoas a pé, atraídas pelo barulho, apostarão alguns denares em quem acreditarem que irá ganhar. Estou convencido de que temos muito a ganhar com isso.
dlga_fistfight_response_4:fistfight_response_4a|Bem, como pode ver, o truque é prolongar a luta o maior tempo possível, de modo que todos pensem que você irá perder. As pessoas vão se colocar contra você e você inverterá o destino da luta no último momento. Para você, a melhor maneira de fazer dinheiro é deixar-se ser espancado até quase o nocaute, em seguida, levantar-se e vencer. Você deve virar o jogo no fim da luta, caso contrário, nem eu, nem você, ganharemos o dinheiro.
dlga_fistfight_response_4a:fistfight_response_5|Por outro lado, você não pode arrastar a luta por muito tempo, porque assim as pessoas vão começar a suspeitar do truque. Por isso, ambos terão que receber alguns golpes de vez em quando. Não me importa quanto sangue seja derramado, mas os espectadores precisam ver sangue.
dlga_fistfight_response_5:fistfight_response_5a|E outra coisa... O meu colega, com quem você vai lutar, não é muito inteligente. Ele partirá diretamente para você, portanto será de sua responsabilidade introduzir criatividade no combate.
dlga_fistfight_response_5a:fistfight_response_confirm|E então, o que me diz?
dlga_fistfight_response_confirm:close_window.1|Tenho coisas melhores para fazer.
dlga_start:ramun_introduce_1|Que tenha um bom dia, {meu jovem/minha jovem}.
dlga_ramun_introduce_1:ramun_introduce_2|Perdoe-me, você parece ser um mercador, mas não consigo ver suas mercadorias.
dlga_ramun_introduce_1:close_window|Não me importa.
dlga_ramun_introduce_2:ramun_introduce_3|Mercador? Oh, sim, sou um mercador. Meus bens são um pouco diferentes do tradicional. Devem ser alimentados e hidratados duas vezes ao dia, e quando eu me viro, tentam escapar.
dlga_ramun_introduce_3:ramun_introduce_4|Gado?
dlga_ramun_introduce_4:ramun_introduce_5|Não exatamente. Costumo dizer a mim mesmo que sou o homem responsável por manter todos os navios do oceano navegando. Veja só, os navios são movidos por remos e os remos necessitam de homens que os manejem, caso contrário eles param. É aí que eu entro.
dlga_ramun_introduce_5:ramun_introduce_6|Galeotes.
dlga_ramun_introduce_6:ramun_introduce_7|Vejo que você está compreendendo! Um porto comercial como este não poderia sobreviver sem eles. Os navios perdem vários pares de braços em cada viagem, por isso há sempre uma grande demanda. Os capitães vêm a mim, e pagam muito bem.
dlga_ramun_introduce_7:ramun_introduce_8|De onde vem os escravos?
dlga_ramun_introduce_8:ramun_introduce_9|A maior parte deles são criminosos condenados que eu compro das autoridades. Outros são prisioneiros de guerra de diferentes nações, trazidos a mim porque eu sempre ofereço os melhores preços. No entanto, de vez em quando também compro indivíduos de outras... "fontes". Não se pode ser muito exigente com seus fornecedores neste negócio. Você por acaso não teria algum prisioneiro aí com você?
dlga_ramun_introduce_9:ramun_introduce_10|Eu? 
dlga_ramun_introduce_10:ramun_introduce_11|Por que não? Se pretende colocar os pés fora desta cidade, mais cedo ou mais tarde acabará cruzando espadas com alguém. E se o Céu quiser, sairá vitorioso do encontro. Por que não fazer um dinheiro extra? Se você mantê-los vivos e trazê-los para mim, pagarei 50 denares por cabeça. Não me importa quem são, nem de onde vêm.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm... Pensarei sobre isso.
dlga_ramun_introduce_12:close_window|Pense nisso! Há uma grande quantidade de ouro a ser feito, não se deixe enganar. O suficiente para nós dois.
dlga_start:ramun_talk|Olá, {playername}.
dlga_ramun_pre_talk:ramun_talk|Algo mais?
dlga_ramun_talk:ramun_sell_prisoners|Eu trouxe alguns prisioneiros, Ramun. Gostaria de dar uma olhada?
dlga_ramun_talk:ramun_sell_prisoners_all|Eu quero vender todos os escravos que eu tenho comigo.
dlga_ramun_sell_prisoners_all:ramun_sell_prisoners_all_2|Tomarei todos os seus {reg0} {reg2?prisioneiros:prisioneiro} das suas mãos por {reg1} denares. Temos um acordo?
dlga_ramun_sell_prisoners_all_2:ramun_sell_prisoners_2|Sim, temos um acordo.
dlga_ramun_sell_prisoners_all_2:ramun_pre_talk|Deixe-me pensar sobre isso novamente.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Deixe-me ver o que você tem...
dlga_ramun_sell_prisoners_2:close_window|Foi um prazer fazer negócio com você.
dlga_ramun_talk:ramun_ask_about_capturing|Como faço para capturar um prisioneiro?
dlga_ramun_talk:ramun_ask_about_capturing.1|Pode contar-me novamente como capturar prisioneiros?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Você é iniciante nesta prática, não é? Deixe-me explicar em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo em vez de sangrar até a morte, sabe? Eu suponho que você tenha uma arma dessas com você, tem?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Claro.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Bem, na verdade eu não tenho.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bom. Nesse caso, tudo o que precisa fazer é bater no idiota com sua arma e colocá-lo a ferros depois da luta. É um pouco diferente para os nobres e semelhantes, pois eles costumam estar suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com algo afiado. Eu não sou muito exigente quanto a minha mercadoria, mas insisto que eles devem estar vivos quando eu comprá-los.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Não? Ah, bem, esse deve ser o seu dia de sorte. Tenho aqui uma velha clava de madeira que iria jogar fora. Está um pouco gasto, mas acho que ainda serve para esmagar alguém até que pare de se mover. Tome, pode levá-lo.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Obrigad{o/a}, Ramun. Irei experimentá-lo em breve.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Muito bem, tentarei explicar novamente em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo, em vez de sangrar até a morte. Para os nobres e semelhantes é um pouco diferente, pois eles costumam ser suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com uma arma afiada.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Certo, creio que entendi. Algo mais?
