lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2023 - by Cláudio Vieira e Evandro Neto
menu_start_game_0|Terminal
menu_start_phase_2|Você já ouviu falar muito sobre Calradia. Uma terra dividida entre reinos rivais que buscam a supremacia, um refúgio para cavaleiros e mercenários, assassinos e aventureiros, todos dispostos a arriscar suas vidas em busca de fortuna, poder, ou glória... Nesta terra cheia de perigos e oportunidades você acredita que pode deixar seu passado para trás e começar uma nova vida. Parece sentir que a chave de seu destino está agora em suas mãos, você é livre para escolher e, seja qual for o seu caminho, grandes aventuras {o/a} esperam. Atraíd{o/a} pelas histórias que havia escutado sobre Calradia e seus reinos, você...
mno_town_1|Une-se a uma caravana para Praven, no Reino da Swadia.
mno_town_2|Une-se a uma caravana para Reyvadin, no Reino de Vaegir.
mno_town_3|Une-se a uma caravana para Tulga, no Khanato Khergita.
mno_town_4|Embarca em um navio para Sargoth, no Reino do Norte.
mno_town_5|Embarca em um navio para Jelkala, no Reino Rhodok.
mno_town_6|Une-se a uma caravana para Shariz, no Sultanato Sarranide.
menu_start_game_3|Escolha seu cenário:
mno_go_back_m2|Retornar
menu_tutorial|Você se aproxima de um campo onde os habitantes locais treinam com armas. Aqui poderá praticar para melhorar suas habilidades de combate.
mno_continue_m8|Continuar...
mno_go_back_dot_m3|Retornar.
menu_reports|{s9}Renome: {reg5}^Honra: {reg6}{s12}^^{s27}^Moral do Exército: {reg8}^Limite de Tropas: {reg7}^{s1}
mno_view_affiliated_family_report|Ver relatório dos membros afiliados à família / cônjuge.
mno_show_personal_affairs_report|Ver agenda pessoal.
mno_show_party_reports|Analizar Companheiros e Exército.
mno_show_world_reports|Checar o atual estado das relações.
mno_show_reference_materials|Ver materiais de referência importantes.
mno_resume_travelling|Seguir viagem.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A batalha está terminada. {s1} Seu lado matou {reg5} inimigos e perdeu {reg6} tropas na batalha. Pessoalmente, você matou {reg7} homens.
mno_continue_m7|Continuar.
menu_start_game_1|Escolha o gênero do seu personagem.
mno_start_male|Masculino
mno_start_female|Feminino
menu_start_character_1|Você nasceu há anos em uma terra distante. Seu pai era...
mno_start_noble|Um nobre empobrecido.
mno_start_merchant|Um mercador ambulante.
mno_start_guard|Um guerreiro veterano.
mno_start_forester|Um caçador.
mno_start_nomad|Um nômade da estepe.
mno_start_thief|Um ladrão.
menu_start_character_2|{s10}^^Você começou a aprender sobre o mundo quase ao mesmo tempo em que aprendeu a caminhar e falar. Passou sua infância...
mno_page|Como pajem na corte de um nobre.
mno_apprentice|Como aprendiz de artesão.
mno_stockboy|Como ajudante em uma tenda.
mno_urchin|Fazendo travessuras.
mno_nomad|Nas estepes.
mno_go_back_m3|Volte.
menu_start_character_3|{s11}^^Então, como sempre acontece, sua vida mudou ao chegar na adolescência. Você tornou-se...
mno_squire|Um escudeiro.
mno_lady|Uma dama de honra.
mno_troubadour|{reg3?Uma trovadora:Um trovador}.
