qstr_cloak_green|capa verde
qstr_cloak_red|capa vermelha
qstr_cloak_purple|capa púrpura
qstr_cloak1_green|capa1 verde
qstr_cloak1_red|capa 1 vermelha
qstr_vaegir_cloak|capa vaegir
qstr_vaegir_cloak.1|capa vaegir.1
qstr_vaegir_cloak.2|capa vaegir.2
qstr_cloak1_purple|capa1 púrpura
qstr_nord_elite_armor|armadura nórdica de elite
qstr_cape_feather|capa emplumada
qstr_torbica3|torbica3
qstr_jarl_armor_2|armadura de jarl 2
qstr_jarl_armor_2.1|armadura de jarl 2.1
qstr_banded_leather_maile|banded leather mailed
qstr_torbica|torbica
qstr_jarl_armor_1|armadura de jarl 1
qstr_torbica2|torbica2
qstr_cloak2_purple|capa2 púrpura
qstr_cloak2_red|capa2 vermelha
qstr_cloak2_green|capa2 verde
qstr_krzno|krzno
qstr_krzno1|krzno1
qstr_cloak_black|capa preta
qstr_Next_Page|Próxima Página
qstr_Game_Rules:^|Regras do jogo:^
qstr_0|0
qstr_Show_game_rules|Ver regras do jogo
qstr_Continue...|Continuar...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_{s4}_wishes_|O {s3} do {s4} deseja eleger um novo marechal, e para isso convida seus vassalos a um conselho. O {s1} e o {s2} são os candidatos para o posto.
qstr_Who_do_you_wish_to_s|A quem deseja apoiar?
qstr_{s1}_gives_his_suppo|O {s1} dá seu apoio ao {s2}.
qstr_Number_of_Supporters|Número de partidários: {reg0}
qstr_{s2}_has_heard_his_v|O {s2} escutou o conselho de seus vassalos e elegeu ao {s1} como marechal do {s3}.
qstr_Action|Ação
qstr_Mount|Montem em seus cavalos!
qstr_Attack_Type|Tipo de ataque
qstr_Stand_Ground|Defendam suas posições!
qstr_Charge|Atacar!!!
qstr_Follow_Me|Sigam-me!
qstr_Hold_This_Position|Mantenham a formação!
qstr_Spread_Out|Dispersar!
qstr_Stand_Closer|Apertem as fileiras!
qstr_Fall_Back|Recuem dez passos!
qstr_Advance|Avancem dez passos!
qstr_Dismount|Desmontem dos cavalos!
qstr_Fire_At_Will|Abrir fogo!
qstr_Hold_Your_Fire|Cessar-fogo!
qstr_Use_Blunt_Weapons|Usem armas contundentes!
qstr_Use_Any_Weapon|Usem armas à vontade!
qstr_Ready|Prontos
qstr_Wounded|Feridos
qstr_Dead|Mortos
qstr_Number_of_men_knocke|Número de homens inconscientes: {reg1}
qstr_Number_of_men_left:_|Número de homens restantes: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes derrotados: {reg1}
qstr_Opponents_Remaining:|Oponentes na disputa: {reg1}
qstr_Remain_in_retirement|Permanecer aposentado.
qstr_Go_back_to_the_adven|Retornar à aventura.
qstr_You_have_retired_at_|Você se retirou no nível {reg4} após {reg5} dias de aventura.
qstr_Effect_on_Score|Efeito na pontuação
qstr_Settlements_owned_by|Seus assentamentos: {reg0}
qstr_Friendly_Settlements|Assentamentos amigos: {reg0}
qstr_Hostile_Settlements:|Assentamentos hostis: {reg0}
qstr_Friendly_Lords:_{reg|Lordes amigos: {reg0}
qstr_Enemy_Lords:_{reg0}|Lordes hostis: {reg0}
qstr_Victories:_{reg0}|Vitórias: {reg0}
qstr_Defeats:_{reg0}|Derrotas: {reg0}
qstr_Quests_Completed:_{r|Missões completadas: {reg0}
qstr_Companions_Found:_{r|Companheiros encontrados: {reg0}
qstr_Companions_Lost/Depa|Companheiros perdidos/retirados: {reg0}
qstr_Wealth:_{reg0}_denar|Riqueza: {reg0} denares
qstr_Inventory:_{reg0}_de|Inventário: {reg0} denares
qstr_Renown:_{reg0}|Renome: {reg0}
qstr_Experience:_{reg0}|Experiência: {reg0}
qstr_Days_Passed:_{reg0}|Dias passados: {reg0}
qstr_Difficulty:_{reg0}%|Dificuldade: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|PONTUAÇÃO TOTAL: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Nenhum
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Wages_for_your_Shipc|Salário para sua tripulação:
qstr_Staff:|Funcionários:
qstr_You_paid_{reg0}_cash|Você pagou {reg0} denares para liquidar seu débito
qstr_Earlier_cash:|Dinheiro anterior:
qstr_New_cash:|Dinheiro atual:
qstr_Done|Pronto
qstr_Name:_{s1}^Level:_{r|Nome: {s1}^Nível: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Configurar melhoria no equipamento:
qstr_Apply_to_everyone|Aplicar a todos
qstr_Upgrade_armor_|Melhorar armadura 
qstr_Upgrade_horse_|Melhorar cavalo
qstr_Select_your_domestic|Selecione a política interna
qstr_Centralization:|Centralização:
qstr_Aristocracy:|Aristocracia:
qstr_Serfdom:|Servidão:
qstr_Troop_quality:|Qualidade das tropas:
